Measure #60 from set 10 [2 --> 1], RSSI = -67
Measure #58 from set 10 [1 --> 2], RSSI = -62
Measure #61 from set 10 [2 --> 1], RSSI = -66
Measure #59 from set 10 [1 --> 2], RSSI = -65
Measure #62 from set 10 [2 --> 1], RSSI = -69
Measure #60 from set 10 [1 --> 2], RSSI = -69
Measure #63 from set 10 [2 --> 1], RSSI = -71
Measure #61 from set 10 [1 --> 2], RSSI = -65
Measure #64 from set 10 [2 --> 1], RSSI = -70
Measure #62 from set 10 [1 --> 2], RSSI = -64
Measure #65 from set 10 [2 --> 1], RSSI = -64
Measure #63 from set 10 [1 --> 2], RSSI = -61
Measure #66 from set 10 [2 --> 1], RSSI = -66
Measure #64 from set 10 [1 --> 2], RSSI = -64
Measure #67 from set 10 [2 --> 1], RSSI = -67
Measure #65 from set 10 [1 --> 2], RSSI = -66
Measure #68 from set 10 [2 --> 1], RSSI = -69
Measure #66 from set 10 [1 --> 2], RSSI = -66
Measure #69 from set 10 [2 --> 1], RSSI = -70
Measure #67 from set 10 [1 --> 2], RSSI = -68
Measure #70 from set 10 [2 --> 1], RSSI = -70
Measure #68 from set 10 [1 --> 2], RSSI = -67
Measure #71 from set 10 [2 --> 1], RSSI = -68
Measure #69 from set 10 [1 --> 2], RSSI = -62
Measure #72 from set 10 [2 --> 1], RSSI = -64
Measure #70 from set 10 [1 --> 2], RSSI = -60
Measure #73 from set 10 [2 --> 1], RSSI = -62
Measure #71 from set 10 [1 --> 2], RSSI = -60
Measure #74 from set 10 [2 --> 1], RSSI = -62
Measure #72 from set 10 [1 --> 2], RSSI = -60
Measure #75 from set 10 [2 --> 1], RSSI = -62
Measure #73 from set 10 [1 --> 2], RSSI = -60
Measure #76 from set 10 [2 --> 1], RSSI = -62
Measure #74 from set 10 [1 --> 2], RSSI = -58
Measure #77 from set 10 [2 --> 1], RSSI = -62
Measure #75 from set 10 [1 --> 2], RSSI = -56
Measure #78 from set 10 [2 --> 1], RSSI = -60
Measure #76 from set 10 [1 --> 2], RSSI = -55
Measure #79 from set 10 [2 --> 1], RSSI = -60
Measure #77 from set 10 [1 --> 2], RSSI = -55
Measure #80 from set 10 [2 --> 1], RSSI = -60
Measure #78 from set 10 [1 --> 2], RSSI = -59
Measure #81 from set 10 [2 --> 1], RSSI = -62
Measure #79 from set 10 [1 --> 2], RSSI = -59
Measure #82 from set 10 [2 --> 1], RSSI = -62
Measure #80 from set 10 [1 --> 2], RSSI = -59
Measure #83 from set 10 [2 --> 1], RSSI = -62
Measure #81 from set 10 [1 --> 2], RSSI = -60
Measure #84 from set 10 [2 --> 1], RSSI = -62
Measure #82 from set 10 [1 --> 2], RSSI = -60
Measure #85 from set 10 [2 --> 1], RSSI = -62
Measure #83 from set 10 [1 --> 2], RSSI = -60
Measure #86 from set 10 [2 --> 1], RSSI = -62
Measure #84 from set 10 [1 --> 2], RSSI = -60
Measure #87 from set 10 [2 --> 1], RSSI = -64
Measure #85 from set 10 [1 --> 2], RSSI = -62
Measure #88 from set 10 [2 --> 1], RSSI = -64
Measure #86 from set 10 [1 --> 2], RSSI = -60
Measure #89 from set 10 [2 --> 1], RSSI = -63
Measure #87 from set 10 [1 --> 2], RSSI = -62
Measure #90 from set 10 [2 --> 1], RSSI = -66
Measure #88 from set 10 [1 --> 2], RSSI = -64
Measure #91 from set 10 [2 --> 1], RSSI = -64
Measure #89 from set 10 [1 --> 2], RSSI = -62
Measure #92 from set 10 [2 --> 1], RSSI = -66
Measure #90 from set 10 [1 --> 2], RSSI = -63
Measure #93 from set 10 [2 --> 1], RSSI = -64
Measure #91 from set 10 [1 --> 2], RSSI = -61
Measure #94 from set 10 [2 --> 1], RSSI = -66
Measure #92 from set 10 [1 --> 2], RSSI = -62
Measure #95 from set 10 [2 --> 1], RSSI = -64
Measure #93 from set 10 [1 --> 2], RSSI = -63
Measure #96 from set 10 [2 --> 1], RSSI = -66
Measure #94 from set 10 [1 --> 2], RSSI = -64
Measure #97 from set 10 [2 --> 1], RSSI = -66
Measure #95 from set 10 [1 --> 2], RSSI = -60
Measure #98 from set 10 [2 --> 1], RSSI = -64
Measure #96 from set 10 [1 --> 2], RSSI = -62
Measure #99 from set 10 [2 --> 1], RSSI = -64
Measure #97 from set 10 [1 --> 2], RSSI = -62
Measure #100 from set 10 [2 --> 1], RSSI = -66
Measure #98 from set 10 [1 --> 2], RSSI = -60
Measure #101 from set 10 [2 --> 1], RSSI = -62
Measure #99 from set 10 [1 --> 2], RSSI = -62
Measure #102 from set 10 [2 --> 1], RSSI = -64
Measure #100 from set 10 [1 --> 2], RSSI = -63
Measure #103 from set 10 [2 --> 1], RSSI = -66
Measure #101 from set 10 [1 --> 2], RSSI = -62
Measure #104 from set 10 [2 --> 1], RSSI = -66
Measure #102 from set 10 [1 --> 2], RSSI = -60
Measure #105 from set 10 [2 --> 1], RSSI = -64
Measure #103 from set 10 [1 --> 2], RSSI = -65
Measure #106 from set 10 [2 --> 1], RSSI = -70
Measure #104 from set 10 [1 --> 2], RSSI = -64
Measure #107 from set 10 [2 --> 1], RSSI = -66
Measure #105 from set 10 [1 --> 2], RSSI = -64
Measure #108 from set 10 [2 --> 1], RSSI = -64
Measure #106 from set 10 [1 --> 2], RSSI = -60
Measure #109 from set 10 [2 --> 1], RSSI = -63
Measure #107 from set 10 [1 --> 2], RSSI = -60
Measure #110 from set 10 [2 --> 1], RSSI = -64
Measure #108 from set 10 [1 --> 2], RSSI = -61
Measure #111 from set 10 [2 --> 1], RSSI = -64
Measure #109 from set 10 [1 --> 2], RSSI = -62
Measure #112 from set 10 [2 --> 1], RSSI = -66
Measure #110 from set 10 [1 --> 2], RSSI = -65
Measure #113 from set 10 [2 --> 1], RSSI = -69
Measure #111 from set 10 [1 --> 2], RSSI = -65
Measure #114 from set 10 [2 --> 1], RSSI = -68
Measure #112 from set 10 [1 --> 2], RSSI = -64
Measure #115 from set 10 [2 --> 1], RSSI = -68
Measure #113 from set 10 [1 --> 2], RSSI = -64
Measure #116 from set 10 [2 --> 1], RSSI = -68
Measure #114 from set 10 [1 --> 2], RSSI = -64
Measure #117 from set 10 [2 --> 1], RSSI = -68
Measure #115 from set 10 [1 --> 2], RSSI = -64
Measure #118 from set 10 [2 --> 1], RSSI = -68
Measure #116 from set 10 [1 --> 2], RSSI = -64
Measure #119 from set 10 [2 --> 1], RSSI = -70
Measure #117 from set 10 [1 --> 2], RSSI = -64
Measure #120 from set 10 [2 --> 1], RSSI = -66
Measure #118 from set 10 [1 --> 2], RSSI = -62
Measure #121 from set 10 [2 --> 1], RSSI = -64
Measure #119 from set 10 [1 --> 2], RSSI = -64
Measure #122 from set 10 [2 --> 1], RSSI = -66
Measure #120 from set 10 [1 --> 2], RSSI = -60
Measure #123 from set 10 [2 --> 1], RSSI = -66
Measure #121 from set 10 [1 --> 2], RSSI = -64
Measure #124 from set 10 [2 --> 1], RSSI = -68
Measure #122 from set 10 [1 --> 2], RSSI = -68
Measure #125 from set 10 [2 --> 1], RSSI = -74
Measure #123 from set 10 [1 --> 2], RSSI = -71
Measure #126 from set 10 [2 --> 1], RSSI = -74
Measure #124 from set 10 [1 --> 2], RSSI = -69
Measure #127 from set 10 [2 --> 1], RSSI = -67
Measure #125 from set 10 [1 --> 2], RSSI = -66
Measure #128 from set 10 [2 --> 1], RSSI = -68
Measure #126 from set 10 [1 --> 2], RSSI = -63
Measure #129 from set 10 [2 --> 1], RSSI = -64
Measure #127 from set 10 [1 --> 2], RSSI = -62
Measure #130 from set 10 [2 --> 1], RSSI = -64
Measure #128 from set 10 [1 --> 2], RSSI = -60
Measure #131 from set 10 [2 --> 1], RSSI = -64
Measure #129 from set 10 [1 --> 2], RSSI = -64
Measure #132 from set 10 [2 --> 1], RSSI = -66
Measure #130 from set 10 [1 --> 2], RSSI = -63
Measure #133 from set 10 [2 --> 1], RSSI = -66
Measure #131 from set 10 [1 --> 2], RSSI = -62
Measure #134 from set 10 [2 --> 1], RSSI = -64
Measure #132 from set 10 [1 --> 2], RSSI = -66
Measure #135 from set 10 [2 --> 1], RSSI = -68
Measure #133 from set 10 [1 --> 2], RSSI = -60
Measure #136 from set 10 [2 --> 1], RSSI = -62
Measure #134 from set 10 [1 --> 2], RSSI = -60
Measure #137 from set 10 [2 --> 1], RSSI = -62
Measure #135 from set 10 [1 --> 2], RSSI = -60
Measure #138 from set 10 [2 --> 1], RSSI = -63
Measure #136 from set 10 [1 --> 2], RSSI = -61
Measure #139 from set 10 [2 --> 1], RSSI = -64
